FID,OBJECTID_1,OBJECTID,Id,Row,Col,District_1,NSM_Active,NSM_Col,NSM_ROCO,SFWMM_Acti,SFWMM_Col,SFWMM_ROCO,LOK_Active,cell_area,Xcoord,Ycoord,rowco,Shape_Leng,Shape_Area,rf_active
169,410,410,0,6,60,6060,0,0,0,0,0,0,0,0,870689.0000000,350117.0000000,6060,42240.143866600003000,111514359.617000000000000,0
170,411,411,0,6,61,6061,0,0,0,0,0,0,0,0,881249.0000000,350117.0000000,6061,42240.133039799999000,111514302.451000010000000,0
171,412,412,0,6,62,6062,0,0,0,0,0,0,0,0,891809.0000000,350117.0000000,6062,42240.122869200000000,111514248.750000000000000,0
172,413,413,0,6,63,6063,0,0,0,0,0,0,0,0,902369.0000000,350117.0000000,6063,42240.299049800000000,111515178.986000000000000,0
173,414,414,0,6,64,6064,0,0,0,0,0,0,0,0,912929.0000000,350117.0000000,6064,42240.651739100002000,111517041.190000000000000,0
174,415,415,0,6,65,6065,0,0,0,0,0,0,0,0,923489.0000000,350117.0000000,6065,42240.656988399998000,111517068.907000010000000,0
175,416,416,0,6,66,6066,0,0,0,0,0,0,0,0,934049.0000000,350117.0000000,6066,42240.661581499997000,111517093.160000000000000,0
176,417,417,0,6,67,6067,0,0,0,0,0,0,0,0,944610.0000000,350117.0000000,6067,42240.666830900002000,111517120.877000000000000,0
177,418,418,0,6,68,6068,0,0,0,0,0,0,0,0,955170.0000000,350117.0000000,6068,42240.671424000000000,111517145.128999990000000,0
178,419,419,0,6,69,6069,0,0,0,0,0,0,0,0,965730.0000000,350117.0000000,6069,42240.676673399998000,111517172.846000000000000,0
179,420,420,0,6,70,6070,0,0,0,0,0,0,0,0,976291.0000000,350117.0000000,6070,42240.681594700000000,111517198.831000000000000,0
180,461,461,0,7,41,7041,0,0,0,0,0,0,0,0,670047.0000000,360679.0000000,7041,42240.355481400002000,111515476.949000000000000,1
181,462,462,0,7,42,7042,1,13,7013,1,13,7013,0,0,680608.0000000,360679.0000000,7042,42240.352856700003000,111515463.091000010000000,1
182,463,463,0,7,43,7043,1,14,7014,1,14,7014,0,0,691168.0000000,360679.0000000,7043,42240.349247700004000,111515444.035000000000000,1
183,464,464,0,7,44,7044,1,15,7015,1,15,7015,0,0,701728.0000000,360679.0000000,7044,42240.346294900002000,111515428.444000010000000,1
184,465,465,0,7,45,7045,1,16,7016,1,16,7016,0,0,712288.0000000,360678.0000000,7045,42240.343013999998000,111515411.121000010000000,1
185,466,466,0,7,46,7046,1,17,7017,1,17,7017,0,0,722848.0000000,360678.0000000,7046,42240.339733100001000,111515393.797999990000000,1
186,467,467,0,7,47,7047,1,18,7018,1,18,7018,0,0,733408.0000000,360678.0000000,7047,42240.337108400003000,111515379.939000000000000,1
187,468,468,0,7,48,7048,1,19,7019,1,19,7019,0,0,743968.0000000,360678.0000000,7048,42240.198656900000000,111514648.910000000000000,1
188,469,469,0,7,49,7049,1,20,7020,1,20,7020,0,0,754528.0000000,360678.0000000,7049,42240.198328799997000,111514647.178000000000000,1
189,470,470,0,7,50,7050,1,21,7021,1,21,7021,0,0,765088.0000000,360678.0000000,7050,42240.199641100000000,111514654.106999990000000,1
190,471,471,0,7,51,7051,1,22,7022,1,22,7022,0,0,775648.0000000,360678.0000000,7051,42240.200297199997000,111514657.572000000000000,1
191,472,472,0,7,52,7052,1,23,7023,1,23,7023,0,0,786208.0000000,360678.0000000,7052,42240.200953400003000,111514661.036000000000000,1
192,473,473,0,7,53,7053,1,24,7024,1,24,7024,0,0,796768.0000000,360678.0000000,7053,42240.201937600003000,111514666.233000000000000,1
193,474,474,0,7,54,7054,1,25,7025,1,25,7025,0,0,807328.0000000,360678.0000000,7054,42240.202921800003000,111514671.429000010000000,1
