OBJECTID_1,OBJECTID,Id,Row,Col,District_1,NSM_Active,NSM_Col,NSM_ROCO,SFWMM_Acti,SFWMM_Col,SFWMM_ROCO,LOK_Active,cell_area,Xcoord,Ycoord,rowco,Shape_Length,Shape_Area,rf_active
62,62,0,1,62,1062,0,0,0,0,0,0,0,0,0.0000000,0.0000000,1062,42240.186189427055000,111514583.071377290000000,0
63,63,0,1,63,1063,0,0,0,0,0,0,0,0,0.0000000,0.0000000,1063,42240.336779847734000,111515378.186614300000000,0
64,64,0,1,64,1064,0,0,0,0,0,0,0,0,0.0000000,0.0000000,1064,42240.661254314029000,111517091.411377370000000,0
65,65,0,1,65,1065,0,0,0,0,0,0,0,0,0.0000000,0.0000000,1065,42240.671096935686000,111517143.381187870000000,0
66,66,0,1,66,1066,0,0,0,0,0,0,0,0,0.0000000,0.0000000,1066,42240.680611486714000,111517193.618720220000000,0
67,67,0,1,67,1067,0,0,0,0,0,0,0,0,0.0000000,0.0000000,1067,42240.690126033915000,111517243.856133190000000,0
68,68,0,1,68,1068,0,0,0,0,0,0,0,0,0.0000000,0.0000000,1068,42240.699968682980000,111517295.825856060000000,0
69,69,0,1,69,1069,0,0,0,0,0,0,0,0,0.0000000,0.0000000,1069,42240.709811336543000,111517347.795611010000000,0
70,70,0,1,70,1070,0,0,0,0,0,0,0,0,0.0000000,0.0000000,1070,42240.719325926577000,111517398.033118320000000,0
111,111,0,2,41,2041,0,0,0,0,0,0,0,0,0.0000000,0.0000000,2041,42240.438813436129000,111515916.946674390000000,1
112,112,0,2,42,2042,0,0,0,0,0,0,0,0,0.0000000,0.0000000,2042,42240.426018165475000,111515849.386886080000000,1
113,113,0,2,43,2043,0,0,0,0,0,0,0,0,0.0000000,0.0000000,2043,42240.412894824934000,111515780.094867110000000,1
114,114,0,2,44,2044,1,15,2015,1,15,2015,0,0,0.0000000,0.0000000,2044,42240.399443407652000,111515709.070586520000000,1
115,115,0,2,45,2045,1,16,2016,1,16,2016,0,0,0.0000000,0.0000000,2045,42240.385991983800000,111515638.046256290000000,1
116,116,0,2,46,2046,1,17,2017,1,17,2017,0,0,0.0000000,0.0000000,2046,42240.372540563621000,111515567.021966650000000,1
117,117,0,2,47,2047,1,18,2018,1,18,2018,0,0,0.0000000,0.0000000,2047,42240.359745294467000,111515499.462165640000000,1
118,118,0,2,48,2048,1,19,2019,1,19,2019,0,0,0.0000000,0.0000000,2048,42240.172081387238000,111514508.591397930000000,1
119,119,0,2,49,2049,1,20,2020,1,20,2020,0,0,0.0000000,0.0000000,2049,42240.146490925239000,111514373.473309080000000,1
120,120,0,2,50,2050,1,21,2021,1,21,2021,0,0,0.0000000,0.0000000,2050,42240.124509382047000,111514257.410379930000000,1
121,121,0,2,51,2051,0,0,0,0,0,0,0,0,0.0000000,0.0000000,2051,42240.102199769048000,111514139.615205630000000,0
122,122,0,2,52,2052,0,0,0,0,0,0,0,0,0.0000000,0.0000000,2052,42240.079562071798000,111514020.087709800000000,0
123,123,0,2,53,2053,0,0,0,0,0,0,0,0,0.0000000,0.0000000,2053,42240.057908636314000,111513905.757096650000000,0
124,124,0,2,54,2054,0,0,0,0,0,0,0,0,0.0000000,0.0000000,2054,42240.035599037263000,111513787.961899920000000,0
125,125,0,2,55,2055,0,0,0,0,0,0,0,0,0.0000000,0.0000000,2055,42240.031990199488000,111513768.906768430000000,0
126,126,0,2,56,2056,0,0,0,0,0,0,0,0,0.0000000,0.0000000,2056,42240.123525527844000,111514252.212560610000000,0
127,127,0,2,57,2057,0,0,0,0,0,0,0,0,0.0000000,0.0000000,2057,42240.127134230352000,111514271.266534340000000,0
128,128,0,2,58,2058,0,0,0,0,0,0,0,0,0.0000000,0.0000000,2058,42240.130414944142000,111514288.588287930000000,0
129,129,0,2,59,2059,0,0,0,0,0,0,0,0,0.0000000,0.0000000,2059,42240.133695733079000,111514305.910049660000000,0
130,130,0,2,60,2060,0,0,0,0,0,0,0,0,0.0000000,0.0000000,2060,42240.136976594804000,111514323.231779260000000,0
131,131,0,2,61,2061,0,0,0,0,0,0,0,0,0.0000000,0.0000000,2061,42240.140585627189000,111514342.285819370000000,0
132,132,0,2,62,2062,0,0,0,0,0,0,0,0,0.0000000,0.0000000,2062,42240.143538575263000,111514357.875320370000000,0
133,133,0,2,63,2063,0,0,0,0,0,0,0,0,0.0000000,0.0000000,2063,42240.305939984428000,111515215.352637750000000,0
134,134,0,2,64,2064,0,0,0,0,0,0,0,0,0.0000000,0.0000000,2064,42240.646818611218000,111517015.191436010000000,0
135,135,0,2,65,2065,0,0,0,0,0,0,0,0,0.0000000,0.0000000,2065,42240.656333147723000,111517065.428879830000000,0
136,136,0,2,66,2066,0,0,0,0,0,0,0,0,0.0000000,0.0000000,2066,42240.665191522770000,111517112.201704560000000,0
137,137,0,2,67,2067,0,0,0,0,0,0,0,0,0.0000000,0.0000000,2067,42240.675034160900000,111517164.171458260000000,0
138,138,0,2,68,2068,0,0,0,0,0,0,0,0,0.0000000,0.0000000,2068,42240.684876824023000,111517216.141307620000000,0
139,139,0,2,69,2069,0,0,0,0,0,0,0,0,0.0000000,0.0000000,2069,42240.694719485029000,111517268.111101850000000,0
140,140,0,2,70,2070,0,0,0,0,0,0,0,0,0.0000000,0.0000000,2070,42240.704890230489000,111517321.813164310000000,0
181,181,0,3,41,3041,0,0,0,0,0,0,0,0,0.0000000,0.0000000,3041,42240.436188849897000,111515903.088545780000000,1
182,182,0,3,42,3042,0,0,0,0,0,0,0,0,0.0000000,0.0000000,3042,42240.422737431982000,111515832.064265760000000,1
183,183,0,3,43,3043,0,0,0,0,0,0,0,0,0.0000000,0.0000000,3043,42240.409614091768000,111515762.772246020000000,1
184,184,0,3,44,3044,1,15,3015,1,15,3015,0,0,0.0000000,0.0000000,3044,42240.396162667690000,111515691.747925910000000,1
185,185,0,3,45,3045,1,16,3016,1,16,3016,0,0,0.0000000,0.0000000,3045,42240.383367397917000,111515624.188126470000000,1
186,186,0,3,46,3046,1,17,3017,1,17,3017,0,0,0.0000000,0.0000000,3046,42240.369915972813000,111515553.163815560000000,1
187,187,0,3,47,3047,1,18,3018,1,18,3018,0,0,0.0000000,0.0000000,3047,42240.356464552562000,111515482.139507670000000,1
188,188,0,3,48,3048,1,19,3019,1,19,3019,0,0,0.0000000,0.0000000,3048,42240.181923961980000,111514560.560441880000000,1
189,189,0,3,49,3049,1,20,3020,1,20,3020,0,0,0.0000000,0.0000000,3049,42240.156333498613000,111514425.442354010000000,1
190,190,0,3,50,3050,1,21,3021,1,21,3021,0,0,0.0000000,0.0000000,3050,42240.134680045259000,111514311.111747240000000,1
191,191,0,3,51,3051,1,22,3022,1,22,3022,0,0,0.0000000,0.0000000,3051,42240.112042341236000,111514191.584250550000000,1
